allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,4health,,16%,68/100g,9%,22%,8%,44%,wet,,2.8%,1.7%,4.0%,1.5%,82.0%,8.0%,"Chicken Broth,Chicken,Chicken Liver,Dried Egg White,Potato Starch,Guar Gum,Natural Flavor,Dried Egg Product,Salt,Sodium Phosphate,Potassium Chloride,Calcium Carbonate,Minerals (Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Choline Chloride",[2],GMO Free Shredded Chicken Dinner In Gravy,[3],,
,4health,,13%,96/100g,12%,30%,5%,41%,wet,,2.8%,2.7%,6.5%,1.0%,78.0%,9.0%,"Chicken Broth,Chicken,Poultry Liver,Whitefish,Dried Egg Product,Guar Gum,Potassium Chloride,Salt,Minerals (Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Cobalt Amino Acid Chelate,Potassium Iodide),Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Carrageenan,Choline Chloride,Taurine",[2],GMO Free Chicken & Whitefish Dinner,[3],,
,4health,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Chicken,Chicken Broth,Liver,Dried Egg Product,Brown Rice,Dried Potatoes,Barley,Peas,Guar Gum,Flaxseed Meal,Carrageenan,Carrots,Potassium Chloride,Dried Cranberries,Dried Blueberries,Apples,Taurine,Dried Chicory Root,Yucca Schidigera Extract,Dried Kelp,Salt,Dried Parsley,Iron Proteinate,Zinc Proteinate,Vitamin E Supplement,Choline Chloride,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[2],Chicken & Brown Rice,[3],,
,4health,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Chicken,Chicken Broth,Liver,Beef,Dried Egg Product,Brewer'S Rice,Dried Potatoes,Barley,Peas,Guar Gum,Flaxseed Meal,Carrots,Potassium Chloride,Dried Cranberries,Dried Blueberries,Apples,Carrageenan,Taurine,Dried Chicory Root,Yucca Schidigera Extract,Dried Kelp,Salt,Dried Parsley,Iron Proteinate,Zinc Proteinate,Vitamin E Supplement,Choline Chloride,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[3],Chicken & Beef Dinner,[3],,
,4health,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Chicken,Chicken Broth,Liver,Dried Egg Product,Brewer's Rice,Dried Potatoes,Barley,Peas,Guar Gum,Flaxseed Meal,Carrots,Potassium Chloride,Dried Cranberries,Dried Blueberries,Apples,Carrageenan,Taurine,Dried Chicory Root,Yucca Schidigera Extract,Dried Kelp,Salt,Dried Parsley,Iron Proteinate,Zinc Proteinate,Vitamin E Supplement,Choline Chloride,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[2],Adult Chicken Formula,[3],,
,4health,,0%,370/100g,49%,14%,3%,33%,dry,,0.0%,44.0%,13.0%,3.0%,10.0%,30.0%,"Duck,Duck Meal,Lentils,Chickpeas,Peas,Chicken Fat (Preserved With Mixed Tocopherols),Natural Flavor,Flaxseed,Salmon Oil (Source of DHA),Sodium Bisulfate,Choline Chloride,DL-Methionine,Taurine,Dried Lactobacillus Acidophilus Fermentation Product,Dried Bifidobacterium Animalis Fermentation Product,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate (Source of Vitamin B1),Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin (Vitamin B2),Pyridoxine Hydrochloride (Source of Vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D3 Supplement,Folic Acid",[4],Untamed Stillwater Marsh Recipe Duck & Lentil Formula,[1],,
,4health,,0%,370/100g,49%,14%,3%,33%,dry,,0.0%,44.0%,13.0%,3.0%,10.0%,30.0%,"Salmon,Ocean Fish Meal,Lentils,Chickpeas,Peas,Pea Flour,Canola Oil,Natural Flavor,Flaxseed,Sodium Bisulfate,Choline Chloride,DL-Methionine,Taurine,Dried Lactobacillus Acidophilus Fermentation Product,Dried Bifidobacterium Animalis Fermentation Product,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate (Source of Vitamin B1),Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin (Vitamin B2),Pyridoxine Hydrochloride (Source of Vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D3 Supplement,Folic Acid",[3],Untamed Glacial Stream Recipe Salmon & Lentil Formula,[1],,
,4health,,0%,322/100g,42%,10%,12%,36%,dry,,0.0%,38.0%,9.0%,11.0%,10.0%,32.0%,"Chicken,Chicken Meal,Turkey Meal,Chickpeas,Lentils,Peas,Powdered Cellulose,Chicken Fat (Preserved With Mixed Tocopherols),Natural Flavor,Egg Product,Flaxseed,Sodium Bisulfate,Dl-Methionine,Choline Chloride,Taurine,Dried Chicory Root,L-Carnitine,Dried Lactobacillus Acidophilus Fermentation Product,Dried Bidobacterium Animalis Fermentation Product,Vitamin E Supplement,Zinc Proteinate,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin (Vitamin B2),Pyridoxine Hydrochloride (Vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D3 Supplement,Folic Acid",[5],Special Care Weight Management Formula ,[2],,
,4health,,0%,352/100g,41%,14%,9%,36%,dry,,0.0%,37.0%,13.0%,8.0%,10.0%,32.0%,"Chicken,Chicken Meal,Garbanzo Beans,Peas,Turkey Meal,Powdered Cellulose,Lentils,Chicken Fat (Preserved With Mixed Tocopherols),Natural Flavor,Fish Meal,Flaxseed,Sodium Bisulfate,Choline Chloride,Dl-Methionine,Taurine,Dried Chicory Root,L-Carnitine,Tomatoes,Blueberries,Cranberries,Dried Lactobacillus Acidophilus Fermentation Product,Dried Bifidobacterium Animalis Fermentation Product,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin (Vitamin B2),Pyridoxine Hydrochloride (Vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D Supplement,Folic Acid. Contains a source of live,naturally occurring microorganisms",[5],Indoor Cat Formula for Adult Cats,[2],,
,4health,,0%,395/100g,39%,20%,3%,38%,dry,,0.0%,35.0%,18.0%,3.0%,10.0%,34.0%,"Whitefish,Fish Meal,Dried Ground Peas,Chicken Fat (Preserved with Mixed Tocopherols),Turkey Meal,Tapioca,Egg Product,Turkey,Whole Dried Potato,Natural Flavor,Pea Protein,Dried Plain Beet Pulp,Dried Bacillus Coagulans Fermentation Product,Dried Carrots,Whole Flaxseed,Dried Cranberry,Taurine,Salt,Choline Chloride,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Niacin,L-Ascorbyl-2-Polyphosphate (Source of Vitamin C),Manganese Sulfate,Copper Sulfate,Vitamin A Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Sodium Selenite,Riboflavin Supplement,Pyridoxine Hydrochloride (Source of Vitamin B6),Biotin,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Cobalt Sulfate,Potassium Iodide",[4],"Grain Free Whitefish, Pea & Potato with Real Turkey",[2],,
,4health,,0%,395/100g,39%,20%,3%,38%,dry,,0.0%,35.0%,18.0%,3.0%,10.0%,34.0%,"Chicken,Chicken Meal,Ground White Rice,Peas,Chicken Fat (Preserved With Mixed Tocopherols),Cracked Pearled Barley,Salmon Meal,Potatoes,Potato Protein,Egg Product,Natural Flavor,Fish Meal,Flaxseed,Sodium Bisulfate,Potassium Chloride,Choline Chloride,Dried Chicory Root,Taurine,Dried Kelp,Carrots,Apples,Tomatoes,Blueberries,Spinach,Cranberries,Rosemary Extract,Parsley Flake,Yucca Schidigera Extract,Dried Lactobacillus Acidophilus Fermentation Product,Dried Bifidobacterium Animalis Fermentation Product,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate,Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin,Pyridoxine Hydrochloride (Vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D Supplement,Folic Acid. Contains a source of live,naturally occurring microorganisms",[3],All Life Stages,[2],,
,4health,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Turkey,Turkey Broth,Liver,Salmon,Dried Egg Product,Brewer's Rice,Dried Potatoes,Barley,Peas,Guar Gum,Flaxseed Meal,Carrageenan,Carrots,Potassium Chloride,Dried Cranberries,Dried Blueberries,Apples,Taurine,Dried Chicory Root,Yucca Schidigera Extract,Dried Kelp,Salt,Dried Parsley,Iron Proteinate,Zinc Proteinate,Vitamin E Supplement,Choline Chloride,Thiamine Mononitrate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid",[3],Turkey & Salmon,[3],,
,4health,,0%,87/100g,27%,18%,14%,41%,wet,,0.0%,6.0%,4.0%,3.0%,78.0%,9.0%,"Chicken,Chicken Broth,Chicken Liver,Turkey Broth,Fish,Carrots,Turkey,Potatoes,Ground Dried Peas,Pea Protein,Powdered Cellulose,Vegetable Fiber,Chickpea Flour,Natural Flavor,Sweet Potato,Pumpkin,Guar Gum,Cranberries,Blueberries,Potassium Chloride,Inulin,Taurine,Fish Oil (Preserved With Mixed Tocopherols),Choline Chloride,L-Ascorbyl-2-Polyphosphate (Source Of Ascorbic Acid),Yucca Schidigera Extract,Salt,Carrageenan,Zinc Proteinate,Vitamin E Supplement,Iron Proteinate,Thiamine Mononitrate,L-Carnitine,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Rosemary Extract",[3],Special Care Weight Management Formula - Canned ,[3],,
